START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,RIDER_GENDER,TIME_OF_DAY,AREA_SAFETY_SCORE,PICKUP_AREA,DROPOFF_AREA,INCIDENT_REPORT,RIDE_TYPE
2023-01-01 00:00:00,2023-01-01 00:30:00,Personal,Location_B,Location_C,12.76,Meeting,Female,Afternoon,5.6952497000280715,Downtown,Downtown,No,Shared
2023-01-01 01:00:00,2023-01-01 01:30:00,Business,Location_A,Location_A,24.65,Customer Visit,Male,Afternoon,8.52364321533439,Suburbs,Downtown,No,Solo
2023-01-01 02:00:00,2023-01-01 02:30:00,Business,Location_D,Location_D,9.42,Airport,Female,Morning,2.641063860302495,Suburbs,City Outskirts,Yes,Solo
2023-01-01 03:00:00,2023-01-01 03:30:00,Business,Location_B,Location_A,3.56,Customer Visit,Male,Night,1.7197733673903017,City Outskirts,Suburbs,Yes,Shared
2023-01-01 04:00:00,2023-01-01 04:30:00,Business,Location_A,Location_D,18.86,Errand/Supplies,Male,Afternoon,6.091130356552781,City Outskirts,City Outskirts,No,Shared
2023-01-01 05:00:00,2023-01-01 05:30:00,Personal,Location_D,Location_C,6.58,Meal/Entertainment,Female,Morning,9.470189711058042,Downtown,Suburbs,No,Shared
2023-01-01 06:00:00,2023-01-01 06:30:00,Business,Location_C,Location_C,22.32,Customer Visit,Female,Morning,9.552383742503311,Downtown,Downtown,No,Shared
2023-01-01 07:00:00,2023-01-01 07:30:00,Business,Location_D,Location_A,4.3,Meeting,Female,Morning,8.97805951848334,Downtown,Downtown,No,Solo
2023-01-01 08:00:00,2023-01-01 08:30:00,Personal,Location_D,Location_D,7.52,Customer Visit,Male,Afternoon,1.1505316605714653,City Outskirts,Suburbs,No,Solo
2023-01-01 09:00:00,2023-01-01 09:30:00,Personal,Location_B,Location_D,7.13,Meeting,Female,Morning,5.972571653836812,Downtown,Downtown,No,Shared
2023-01-01 10:00:00,2023-01-01 10:30:00,Personal,Location_D,Location_B,4.59,Customer Visit,Female,Morning,8.953704940046805,Suburbs,City Outskirts,Yes,Shared
2023-01-01 11:00:00,2023-01-01 11:30:00,Business,Location_B,Location_A,10.94,Meeting,Male,Evening,3.039878118054917,Downtown,City Outskirts,No,Solo
2023-01-01 12:00:00,2023-01-01 12:30:00,Business,Location_B,Location_C,23.85,Meeting,Female,Night,9.583369213957576,Suburbs,Downtown,Yes,Solo
2023-01-01 13:00:00,2023-01-01 13:30:00,Personal,Location_C,Location_C,21.72,Meeting,Male,Night,2.1801687788515736,City Outskirts,Suburbs,No,Shared
2023-01-01 14:00:00,2023-01-01 14:30:00,Personal,Location_D,Location_B,18.54,Meal/Entertainment,Male,Evening,6.813539161767851,Downtown,Downtown,Yes,Solo
2023-01-01 15:00:00,2023-01-01 15:30:00,Business,Location_C,Location_A,4.21,Airport,Male,Evening,2.7498916786410343,Downtown,Suburbs,No,Solo
2023-01-01 16:00:00,2023-01-01 16:30:00,Business,Location_A,Location_D,6.67,Meal/Entertainment,Female,Morning,4.715809635974947,Downtown,Suburbs,Yes,Solo
2023-01-01 17:00:00,2023-01-01 17:30:00,Personal,Location_D,Location_C,21.14,Errand/Supplies,Male,Afternoon,5.593719018568509,Suburbs,Downtown,No,Shared
2023-01-01 18:00:00,2023-01-01 18:30:00,Personal,Location_B,Location_A,12.23,Meal/Entertainment,Female,Afternoon,3.7617729530966475,City Outskirts,City Outskirts,No,Shared
